material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1228905,Al2FeCo,"Al, Co, Fe",3,0.00044176249999949846,Tetragonal,123,P4/mmm,0.0,True,True,0.12376893794486557,Al: 0.5000; Fe: 0.2500; Co: 0.2500
mp-1217022,TiAlAu2,"Al, Au, Ti",3,0.042965133124997834,Tetragonal,123,P4/mmm,0.0,True,True,0.48313429809940006,Ti: 0.2500; Al: 0.2500; Au: 0.5000
mp-20911,LaIn5Ir,"In, Ir, La",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.299795848904564,La: 0.1429; In: 0.7143; Ir: 0.1429
mp-1217285,TiAl4Ni15,"Al, Ni, Ti",3,0.006356241499999804,Tetragonal,123,P4/mmm,0.0,True,True,0.1366848565130753,Ti: 0.0500; Al: 0.2000; Ni: 0.7500
mp-1215460,Zn2AgAu,"Ag, Au, Zn",3,0.024396187499998945,Tetragonal,123,P4/mmm,0.0,True,True,0.36341264424893094,Zn: 0.5000; Ag: 0.2500; Au: 0.2500
mp-1228973,Al3ZnCr8,"Al, Cr, Zn",3,0.016436879999998766,Tetragonal,123,P4/mmm,0.0,True,True,0.021343747458109418,Al: 0.2500; Zn: 0.0833; Cr: 0.6667
mp-1217891,TaTiAl6,"Al, Ta, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.04023369234857774,Ta: 0.1250; Ti: 0.1250; Al: 0.7500
mp-1222616,Li2TlHg,"Hg, Li, Tl",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.43620522692879327,Li: 0.5000; Tl: 0.2500; Hg: 0.2500
mp-1216351,VGaNi6,"Ga, Ni, V",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.09377499666755526,V: 0.1250; Ga: 0.1250; Ni: 0.7500
mp-1220476,NbAl2Ni9,"Al, Nb, Ni",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.13136833289986163,Nb: 0.0833; Al: 0.1667; Ni: 0.7500
mp-1025176,HfGa5Ni,"Ga, Hf, Ni",3,0.026785833142852766,Tetragonal,123,P4/mmm,0.0,False,True,0.18749693875052018,Hf: 0.1429; Ga: 0.7143; Ni: 0.1429
mp-1217921,TaGaNi6,"Ga, Ni, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.13490158449773668,Ta: 0.1250; Ga: 0.1250; Ni: 0.7500
mp-1228186,Al4Ni3Pt,"Al, Ni, Pt",3,0.034728817187500205,Tetragonal,123,P4/mmm,0.0,True,True,0.22660193622297217,Al: 0.5000; Ni: 0.3750; Pt: 0.1250
mp-1215496,ZnCdAg2,"Ag, Cd, Zn",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.1307669683062202,Zn: 0.2500; Cd: 0.2500; Ag: 0.5000
mp-1228135,Al5CuMo2,"Al, Cu, Mo",3,0.03185007267361151,Tetragonal,123,P4/mmm,0.0,True,True,0.23653422056861034,Al: 0.6250; Cu: 0.1250; Mo: 0.2500
mp-1208235,Ti4(NbAl3)3,"Al, Nb, Ti",3,0.04342175805000181,Tetragonal,123,P4/mmm,0.0,True,True,0.03388860427931493,Ti: 0.5000; Nb: 0.1250; Al: 0.3750
